"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 11-Jun-2020","1W AGO 
 08-Jun-2020","1M AGO 
 15-May-2020","1Y AGO 
 14-Jun-2019","52W H 
","52W L 
","365 D % CHNG 
 14-Jun-2019","30 D % CHNG 
 15-May-2020"
"NIFTY INFRASTRUCTURE","2,925.95","-0.96","2,934.80","2,954.80","2,895.05","2,954.20","2,908.75","3,002.60","2,729.00","3,308.50","3,453.30","2,072.60","-10.71","8.25"
"NIFTY100 LIQUID 15","2,470.25","-2.41","2,519.60","2,519.60","2,457.35","2,531.20","2,502.20","2,606.85","2,308.80","3,970.30","4,042.65","1,878.95","-36.98","8.38"
"NIFTY MIDCAP LIQUID 15","3,321.00","-1.65","3,372.80","3,401.30","3,312.50","3,376.80","3,309.95","3,344.20","3,104.65","4,242.85","4,437.55","2,448.20","-20.41","8.77"
"NIFTY MNC","12,697.65","-0.73","12,809.05","12,862.55","12,660.80","12,791.25","12,696.80","13,036.75","12,079.95","13,117.90","14,356.20","9,648.20","-2.49","5.89"
"NIFTY PSE","2,417.25","-1.80","2,453.65","2,454.95","2,404.25","2,461.65","2,476.70","2,571.15","2,269.15","3,593.50","3,689.90","1,952.20","-31.50","8.48"
"NIFTY SERVICES SECTOR","12,891.70","-2.26","13,122.45","13,133.60","12,809.10","13,189.40","13,171.80","13,527.05","12,161.65","16,723.15","17,743.20","10,401.30","-21.13","8.45"
"NIFTY 8-13 YR G-SEC","2,178.93","0.04","2,178.35","2,181.28","2,178.13","2,177.96","2,178.11","2,174.65","2,157.26","1,932.07","-","-","12.73","0.97"
"NIFTY 10 YR BENCHMARK G-SEC","1,993.77","0.04","1,993.12","1,995.70","1,992.43","1,992.80","1,993.98","1,989.35","1,976.05","1,784.01","-","-","11.67","0.82"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","979.56","0.03","979.24","980.51","978.90","979.24","980.29","978.48","975.68","934.37","-","-","4.80","0.36"
"NIFTY 4-8 YR G-SEC INDEX","2,314.21","0.05","2,313.29","2,314.81","2,312.69","2,312.88","2,311.82","2,307.50","2,289.80","2,046.17","-","-","13.00","0.97"
"NIFTY 11-15 YR G-SEC INDEX","2,347.69","-0.04","2,349.20","2,350.76","2,346.63","2,348.78","2,350.01","2,347.92","2,318.29","2,055.37","-","-","14.23","1.28"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,569.60","0.02","2,569.35","2,569.60","2,568.48","2,568.88","2,568.51","2,557.70","2,524.83","2,223.04","-","-","15.52","1.71"
"NIFTY COMPOSITE G-SEC INDEX","2,219.64","0.05","2,218.70","2,221.27","2,218.70","2,218.31","2,218.05","2,213.78","2,195.15","1,966.43","-","-","12.77","1.02"
